gb|ACT97415.1|ARO:3002999|CblA-1 [mixed culture bacterium AX_gF3SD01_15],296
gb|AEJ08681.1|ARO:3001109|SHV-52 [Klebsiella pneumoniae],286
gb|AAD01868.1|ARO:3002867|dfrF [Enterococcus faecalis],164
gb|AFJ59957.1|ARO:3001989|CTX-M-130 [Escherichia coli],291
gb|AEX08599.1|ARO:3002356|NDM-6 [Escherichia coli],270
gb|BAP68758.1|ARO:3001855|ACT-35 [Enterobacter cloacae],381
gb|AAF61417.1|ARO:3002244|CARB-5 [Acinetobacter calcoaceticus subsp. anitratus],298
gb|AAP74657.1|ARO:3000600|Erm(34) [Alkalihalobacillus clausii],281
gb|AAT45742.1|ARO:3000988|TEM-126 [Escherichia coli],286
gb|ACH58990.1|ARO:3002511|LRA-12 [uncultured bacterium BLR12],293
gb|AAF19151.1|ARO:3000938|TEM-72 [Morganella morganii],286
gb|AAD45935.1|ARO:3000928|TEM-59 [Klebsiella oxytoca] Partial,277
gb|ACS35345.1|ARO:3002320|KPC-10 [Acinetobacter baumannii],293
gb|AEV91551.1|ARO:3001711|OXA-212 [Acinetobacter johnsonii],274
gb|CAB94707.1|ARO:3002193|IMP-2 [Acinetobacter baumannii],246
gb|CAA63264.1|ARO:3002012|CMY-1 [Klebsiella pneumoniae],382
gb|AGW16411.1|ARO:3001517|OXA-329 [Acinetobacter calcoaceticus],273
gb|AEV91214.1|ARO:3001832|ACT-10 [Serratia marcescens],381
gb|BAO09635.1|ARO:3001557|OXA-371 [Acinetobacter baumannii],274
gb|AAL12234.1|ARO:3003552|fusB [Staphylococcus aureus],213
gb|AFA51699.1|ARO:3001980|CTX-M-121 [Escherichia coli],291
gb|AAS48620.1|ARO:3002372|VEB-3 [Enterobacter cloacae],299
gb|AAA26652.1|ARO:3002835|lnuA [Staphylococcus haemolyticus],161
gb|CAD58780.1|ARO:3001794|OXA-45 [Pseudomonas aeruginosa],264
gb|ACM67635.1|ARO:3001800|OXA-226 [Pseudomonas aeruginosa],275
gb|AIS67611.1|ARO:3003163|CTX-M-155 [Klebsiella pneumoniae],291
gb|AIT76106.1|ARO:3002146|DHA-15 [Klebsiella pneumoniae],379
gb|ACB05808.1|ARO:3003109|msrE [Acinetobacter baumannii],491
gb|CAI43424.1|ARO:3002415|OXY-6-3 [Klebsiella oxytoca],291
gb|ACC85616.1|ARO:3002804|FosA2 [Enterobacter cloacae],141
gb|AAA26699.1|ARO:3002649|APH(3')-Va [Streptomyces fradiae],268
gb|AAG15269.1|ARO:3002528|AAC(3)-Ia [Pseudomonas aeruginosa],154
gb|AFR46589.1|ARO:3002771|QnrB58 [Citrobacter freundii],226
gb|AGH19769.1|ARO:3003198|rmtH [Klebsiella pneumoniae],252
gb|CAI43422.1|ARO:3002413|OXY-6-1 [Klebsiella oxytoca],291
gb|AAL19308.1|ARO:3000504|golS [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],154
gb|BAE78082.1|ARO:3003550|mdtP [Escherichia coli str. K-12 substr. W3110],488
gb|AIT76099.1|ARO:3002125|CMY-114 [Citrobacter freundii],381
gb|AAQ08905.1|ARO:3001808|OXA-60 [Ralstonia pickettii],271
gb|CAJ77809.1|ARO:3001650|OXA-90 [Acinetobacter baumannii],274
gb|AAG29813.1|ARO:3002380|SME-2 [Serratia marcescens],294
gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc [Pseudomonas aeruginosa],279
gb|AAL79541.1|ARO:3002397|OXY-2-2 [Klebsiella oxytoca],290
gb|ACS44783.1|ARO:3002188|MOX-5 [Aeromonas caviae],383
gb|AGE11905.1|ARO:3000904|TEM-34 [Haemophilus parainfluenzae],286
gb|CAM86994.1|ARO:3001617|OXA-69 [Acinetobacter baumannii AYE],274
gb|AAO33760.1|ARO:3000879|TEM-7 [Escherichia coli] Partial,261
gb|BAA84973.1|ARO:3001082|SHV-24 [Escherichia coli],286
gb|AFU25658.1|ARO:3002762|QnrB47 [Citrobacter freundii],214
gb|CCE94500.1|ARO:3001502|OXA-256 [Enterobacter cloacae],266
gb|AEG74318.1|ARO:3002795|QnrS6 [Aeromonas hydrophila],218
gb|AGW16412.1|ARO:3001518|OXA-330 [Acinetobacter calcoaceticus],273
gb|ADM21467.1|ARO:3002053|CMY-42 [Escherichia coli],381
gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib [Klebsiella pneumoniae],184
gb|AFU25635.1|ARO:3002083|CMY-70 [Citrobacter braakii],381
gb|AFK80745.1|ARO:3002350|GES-21 [uncultured bacterium],287
gb|AAN04883.1|ARO:3001099|SHV-41 [Klebsiella pneumoniae],286
gb|AHN53381.1|ARO:3001577|OXA-391 [Acinetobacter baumannii],274
gb|AAR84298.1|ARO:3000996|TEM-132 [Klebsiella pneumoniae],286
